JD,Mag,Magerr
2453470.757,13.85,0.05
2453470.764,13.85,0.05
2453470.772,13.74,0.05
2453470.779,13.61,0.05
2453490.73,13.3,0.05
2453490.739,13.35,0.05
2453490.747,13.41,0.05
2453490.755,13.49,0.05
2453711.978,13.6,0.05
2453711.988,13.44,0.05
2453711.999,13.35,0.05
2453712.009,13.29,0.05
2453728.971,13.35,0.05
2453728.98,13.39,0.05
2453728.988,13.49,0.05
2453728.996,13.61,0.05
2453500.755,13.42,0.05
2453500.762,13.49,0.05
2453500.768,13.59,0.05
2453500.774,13.74,0.05
2453506.691,13.63,0.05
2453506.699,13.81,0.05
2453506.707,13.96,0.05
2453506.714,13.95,0.05
2453831.659,13.47,0.05
2453831.666,13.42,0.05
2453831.672,13.38,0.05
2453831.679,13.34,0.05
2453851.633,13.61,0.05
2453851.641,13.77,0.05
2453851.648,13.85,0.05
2453851.656,13.81,0.05
2454094.926,13.38,0.05
2454094.935,13.49,0.05
2454094.944,13.66,0.05
2454094.953,13.82,0.05
2453767.837,13.26,0.05
2453767.846,13.26,0.05
2453767.854,13.27,0.05
2453767.862,13.28,0.05
2453793.882,13.45,0.05
2453793.888,13.41,0.05
2453793.894,13.36,0.05
2453793.901,13.33,0.05
2453737.9,14.15,0.05
2453737.91,13.67,0.05
2453737.919,13.55,0.05
2453737.928,13.38,0.05
2453739.952,13.27,0.05
2453739.96,13.32,0.05
2453739.969,13.37,0.05
2453739.977,13.43,0.05
2453902.746,13.22,0.05
2453902.747,13.22,0.05
2453902.748,13.22,0.05
2453902.749,13.21,0.05
2453800.877,13.52,0.05
2453800.884,13.64,0.05
2453800.891,13.77,0.05
2453800.898,13.87,0.05
2453818.786,13.68,0.05
2453818.793,13.86,0.05
2453818.8,13.98,0.05
2453818.808,13.94,0.05
2453859.688,14.01,0.05
2453859.694,13.91,0.05
2453859.7,13.76,0.05
2453859.706,13.62,0.05
2454062.989,13.52,0.05
2454062.997,13.41,0.05
2454063.006,13.34,0.05
2454063.014,13.32,0.05
2454204.75,13.71,0.05
2454204.757,13.89,0.05
2454204.765,14.03,0.05
2454204.772,13.98,0.05
2454451.966,13.28,0.05
2454451.973,13.32,0.05
2454451.981,13.38,0.05
2454451.988,13.41,0.05
2454141.909,13.77,0.05
2454141.914,13.65,0.05
2454141.919,13.54,0.05
2454141.925,13.45,0.05
2454117.888,13.38,0.05
2454117.895,13.39,0.05
2454117.902,13.44,0.05
2454117.908,13.54,0.05
2454129.902,13.68,0.05
2454129.907,13.78,0.05
2454129.913,13.83,0.05
2454129.918,13.82,0.05
2454275.681,13.88,0.05
2454275.687,13.79,0.05
2454275.693,13.7,0.05
2454275.7,13.58,0.05
2454171.816,13.38,0.05
2454171.819,13.36,0.05
2454171.823,13.34,0.05
2454171.826,13.31,0.05
2454185.746,13.73,0.05
2454185.755,13.58,0.05
2454185.763,13.47,0.05
2454185.772,13.38,0.05
2454230.741,13.42,0.05
2454230.747,13.37,0.05
2454230.754,13.32,0.05
2454230.76,13.29,0.05
2454236.728,13.34,0.05
2454236.736,13.38,0.05
2454236.743,13.46,0.05
2454236.751,13.58,0.05
2454557.828,13.26,0.05
2454557.837,13.31,0.05
2454557.845,13.37,0.05
2454557.854,13.44,0.05
2454564.767,13.53,0.05
